rebalance_date,symbol,target_weight,rank,momentum_score
2025-04-18,159928.SZ,0.25,2,0.00028924706162245737
2025-04-18,510500.SH,0.25,3,-1.1008442344712119e-05
2025-04-18,512660.SH,0.25,4,-0.00010908575544218573
2025-04-25,159928.SZ,0.25,1,0.005230738883478578
2025-04-25,588000.SH,0.25,2,0.0023496170275958458
2025-04-25,512660.SH,0.25,3,-9.473237922628014e-06
2025-04-25,510500.SH,0.25,4,-2.6854957199930826e-05
2025-04-30,159928.SZ,0.25,1,0.021815018322704553
2025-04-30,588000.SH,0.25,2,0.0006533519181471977
2025-04-30,512660.SH,0.25,3,4.445158219906346e-07
2025-04-30,510500.SH,0.25,4,-1.5889602422055117e-06
2025-05-09,159928.SZ,0.25,1,0.056156089685153746
2025-05-09,512660.SH,0.25,2,0.00045701277024933596
2025-05-09,512010.SH,0.25,3,2.2240272285249988e-05
2025-05-09,510500.SH,0.25,4,2.0753932743419947e-06
2025-05-16,159928.SZ,0.25,1,0.12533646346576469
2025-05-16,512660.SH,0.25,2,0.00612260419514517
2025-05-16,512010.SH,0.25,3,0.003794539601298814
2025-05-16,510500.SH,0.25,4,0.00011220376888691828
2025-05-23,159928.SZ,0.25,1,0.18065976538902367
2025-05-23,512010.SH,0.25,2,0.017781917289886647
2025-05-23,512660.SH,0.25,3,0.011710113079543848
2025-05-23,510500.SH,0.25,4,6.096875257130657e-06
2025-05-30,159928.SZ,0.25,1,0.1490913693014248
2025-05-30,512010.SH,0.25,2,0.016047520246639264
2025-05-30,512660.SH,0.25,3,0.002989110648243082
2025-05-30,510300.SH,0.25,4,-0.00020515536624100513
2025-06-06,159928.SZ,0.25,1,0.12508457066285275
2025-06-06,512010.SH,0.25,2,0.01696317185390399
2025-06-06,512660.SH,0.25,3,0.0010067451053550763
2025-06-06,510300.SH,0.25,4,-0.0011265989633138622
2025-06-13,159928.SZ,0.25,1,0.08014248075081305
2025-06-13,512010.SH,0.25,2,0.0199709188559121
2025-06-13,512660.SH,0.25,3,0.0001563831368299054
2025-06-13,510300.SH,0.25,4,-0.002254954691217694
2025-06-20,159928.SZ,0.25,1,0.01669831036777028
2025-06-20,512010.SH,0.25,2,0.011139557412730126
2025-06-20,512660.SH,0.25,3,8.138347576362872e-07
2025-06-20,510300.SH,0.25,4,-0.003754290327089803
2025-06-27,512010.SH,0.25,1,0.009276727664264897
2025-06-27,512660.SH,0.25,2,0.00037656340614082996
2025-06-27,159928.SZ,0.25,3,0.0003448980928098211
2025-06-27,510300.SH,0.25,4,-0.0005611675756880778
2025-07-04,512010.SH,0.25,1,0.018658706976742153
2025-07-04,512660.SH,0.25,2,0.006059724209773812
2025-07-04,510300.SH,0.25,3,5.8441448083163975e-05
2025-07-04,159928.SZ,0.25,4,-0.0009400506644804081
2025-07-11,512010.SH,0.25,1,0.03957269145606179
2025-07-11,512660.SH,0.25,2,0.020445186828333184
2025-07-11,510300.SH,0.25,3,0.005876017852410284
2025-07-11,512880.SH,0.25,4,0.000514209662182752
2025-07-18,512010.SH,0.25,1,0.07003432978108134
2025-07-18,512660.SH,0.25,2,0.052556868490072066
2025-07-18,510300.SH,0.25,3,0.02695607372926665
2025-07-18,512880.SH,0.25,4,0.018047413549120747
2025-07-25,512660.SH,0.25,1,0.18589584852954089
2025-07-25,512010.SH,0.25,2,0.12638275752357672
2025-07-25,512880.SH,0.25,3,0.1033679919319816
2025-07-25,159915.SZ,0.25,4,0.09946511657626841
2025-08-01,512660.SH,0.25,1,0.4021952751616814
2025-08-01,159915.SZ,0.25,2,0.3501686567416572
2025-08-01,512880.SH,0.25,3,0.30399552065947394
2025-08-01,512010.SH,0.25,4,0.2548557674108231
2025-08-08,159915.SZ,0.25,1,0.6678688321648263
2025-08-08,512660.SH,0.25,2,0.6207520003322478
2025-08-08,512880.SH,0.25,3,0.5260210388024733
2025-08-08,516160.SH,0.25,4,0.3798795507254604
2025-08-15,159915.SZ,0.25,1,0.9709702158320028
2025-08-15,512660.SH,0.25,2,0.7539925712173081
2025-08-15,512880.SH,0.25,3,0.7164473114720643
2025-08-15,516160.SH,0.25,4,0.6262149088439992
2025-08-22,159915.SZ,0.25,1,1.1015202294735906
2025-08-22,512660.SH,0.25,2,0.8549798098599142
2025-08-22,512880.SH,0.25,3,0.8246291170472948
2025-08-22,516160.SH,0.25,4,0.6929675287349076
2025-08-29,159915.SZ,0.25,1,1.3097426250819213
2025-08-29,512660.SH,0.25,2,0.9605321609378243
2025-08-29,512880.SH,0.25,3,0.9428791813859139
2025-08-29,516160.SH,0.25,4,0.7938539978213223
2025-09-05,159915.SZ,0.25,1,1.5835485774756914
2025-09-05,512880.SH,0.25,2,0.9488113251749947
2025-09-05,516160.SH,0.25,3,0.9399695840355549
2025-09-05,512660.SH,0.25,4,0.8728449434458482
2025-09-12,159915.SZ,0.25,1,1.9274682938488157
2025-09-12,516160.SH,0.25,2,1.1848356776920512
